date,open,high,low,close,volume
1640995200000,511.5,527.9,511.4,527.3,446171.541
1641081600000,527.4,533.9,518,531,404475.541
1641168000000,531,532.8,510,511.9,663841.021
1641254400000,511.9,520,502,506.9,687436.638
1641340800000,506.9,516,457,474.1,985152.004
1641427200000,474.2,481.3,458.8,472.6,986669.9
1641513600000,472.6,473.9,437.5,448.1,1331260.03
1641600000000,448.1,459.7,415,429.9,1062788.589
1641686400000,429.8,444.5,427,438.7,688777.347
1641772800000,438.8,445.5,405.6,424.7,1221504.738
1641859200000,424.8,467.7,421.3,463.6,1266092.819
1641945600000,463.6,489.9,456.6,487.8,836124.928
1642032000000,487.8,489.8,466.5,475.2,908052.937
1642118400000,475.1,492.3,467.6,490,797022.181
1642204800000,489.9,500.9,485,494.5,548626.203
1642291200000,494.5,506,488.6,498.6,507042.332
1642377600000,498.6,499.1,466.9,475.2,757806.035
1642464000000,475.1,479.6,457.2,471.4,707501.577
1642550400000,471.5,473.1,453.7,461.9,585750.3
1642636800000,461.9,478.7,438.2,440.2,1137854.894
1642723200000,440.2,444.6,373.7,383.9,1891179.594
1642809600000,383.8,389.6,336.3,358.3,2635609.386
1642896000000,358.3,389,356.3,383.9,1297043.923
1642982400000,384,384,336,371.3,1900214.42
1643068800000,371.2,389.5,357.4,385.1,1006111.155
1643155200000,385.1,402.4,366.4,375.1,1073520.172
1643241600000,375.1,393.8,360,389.9,962060.888
1643328000000,389.9,395.9,375.8,385.9,752320.615
1643414400000,385.9,397.3,380.7,389.3,534573.782
1643500800000,389.4,389.6,372.2,377.2,536436.123
1643587200000,377.2,385.4,365.2,374.3,620113.734
1643673600000,374.4,388.4,373.7,384.2,555347.277
1643760000000,384.1,386.1,366.1,366.9,572340.04
1643846400000,367.1,372.4,359.6,372.3,495715.227
1643932800000,372.2,399.7,369.5,399.5,849825.828
1644019200000,399.6,431,396.3,413.7,1031046.87
1644105600000,413.8,422.5,407,419.9,542631.176
1644192000000,419.9,439,413.3,433.5,758247.667
1644278400000,433.5,445.4,406.2,407.8,1148555.321
1644364800000,407.9,427.7,407.1,422.9,633880.431
1644451200000,422.9,434.9,410,414.7,956240.339
1644537600000,414.7,418.9,390.5,400,700843.2
1644624000000,400,407.1,393.3,403.6,521080.237
1644710400000,403.6,407.8,394.7,397.9,388657.052
